id,count_of_days_in_reporting_period,count_of_days_in_system,count_of_scheduled_days,count_of_days_with_appointments,count_of_days_of_afterhours_activity,count_of_minutes_active_on_unscheduled_days,count_of_minutes_in_the_system,minutes_in_clinical_review_per_appointment,minutes_in_in_basket_per_appointment,minutes_in_notes_letters_per_appointment,minutes_in_orders_per_appointment,minutes_in_clinical_review_per_day,count_of_appointments,scheduled_hours_per_day,count_of_minutes_active_outside_7am_to_7pm,count_of_minutes_active_outside_scheduled_time_30_min_buffer,minutes_active_on_unscheduled_days_per_day,percent_of_minutes_on_sunday,minutes_in_other_per_day,count_of_sunday_minutes,percent_of_minutes_on_saturday,count_of_saturday_minutes,count_of_in_basket_minutes,minutes_in_in_basket_per_day,count_of_patient_call_messages_received,count_of_patient_call_messages_incomplete,count_of_patient_call_messages_completed,messages_received_per_day_patient_calls,average_days_until_patient_call_messages_marked_done,count_of_patient_medical_advice_requests_messages_completed,count_of_patient_medical_advice_requests_messages_incomplete,count_of_patient_medical_advice_requests_messages_received,messages_received_per_day_patient_medical_advice_request,average_days_until_patient_medical_advice_request_message_marked_done,count_of_result_messages_completed,count_of_result_messages_incomplete,count_of_result_messages_received,messages_received_per_day_results,average_days_until_result_message_marked_done,count_of_rx_auth_messages_incomplete,count_of_rx_auth_messages_received,messages_received_per_day_rx_auth,average_days_until_rx_auth_message_marked_done,total_messages_received,total_messages_completed,total_messages_incomplete,message_completion_rate,avg_days_to_complete,total_weekend_minutes,percent_weekend_minutes,afterhours_ratio,afterhours_minutes_ratio,minutes_per_appointment,unscheduled_minutes_ratio,outside_hours_ratio,inbox_minutes_per_day,inbox_minutes_per_message,inbox_minutes_per_appointment,appointments_per_day,scheduled_utilization
MD_6454804,336,101,31,31,0,0,2306,0,0,0,0,53,51,15,0,0,0,0,15.2,4.1,0.30000000000000004,59.5,159,18.2,0,0,1,0,5.1,0,0,0,0,0,0,0,0,0,0,4,4,0.5,1,4,1,4,0.2,1.525,63.6,0.15000000000000002,0,0,45.21568627450981,0,0,5.129032258064516,39.75,3.1176470588235294,1.6451612903225807,0.39028620988725066
RF_65945320,364,181,61,61,3,2681,11561,41.5,18.7,126.1,18.9,94.6,192,25,9,1233,279.5,0,116.5,44.3,0,40.1,881,52,70,7,65,4,21.5,46,2,47,3.5,17,0,0,0,0,0,59,59,4.7,3.8000000000000003,176,111,68,0.6201117318435754,10.575,84.4,0,0.016574585635359115,7.784793702966872e-4,60.213541666666664,0.23190035464060202,7.784793702966872e-4,14.442622950819672,5.005681818181818,4.588541666666667,3.1475409836065573,0.1297465617161145
RF_65945324,336,156,61,61,10,3039,13850,41.6,10.1,145.6,19.7,141.2,199,26,325,1684,280.8,0,139.1,226.9,0.1,89.6,505,36.7,97,28,69,8,26.900000000000002,76,7,74,6,32,13,0,13,0.9,31.1,44,44,3.6,1,228,158,79,0.6666666666666666,22.75,316.5,0.05,0.0641025641025641,0.023465703971119134,69.59798994974874,0.21942238267148015,0.023465703971119134,8.278688524590164,2.2149122807017543,2.5376884422110555,3.262295081967213,0.11263537906137183
MD_66311796,308,80,23,23,2,0,843,0,0,0,0,24.2,23,10,25,0,0,0.5,7.9,27.1,0.1,12.299999999999999,83,11.200000000000001,5,4,1,0,2.2,1,3,4,0.5,0,0,0,0,0,0,4,4,0.4,1.2,13,2,11,0.15384615384615385,0.8500000000000001,39.4,0.3,0.025,0.02965599051008304,36.65217391304348,0,0.02965599051008304,3.608695652173913,6.384615384615385,3.608695652173913,1,0.7117437722419928
MD_66316664,364,288,164,164,56,2185,15519,31,24.1,71.5,29.1,94.4,901,43,743,2372,207.3,0.1,54.5,449.9,0.4,626.8,1693,72.3,460,205,339,20,109.5,127,33,144,6.5,157,336,165,452,18.4,156.4,478,478,19.7,9.4,1534,802,881,0.47653000594177064,108.075,1076.6999999999998,0.25,0.19444444444444445,0.047876796185321216,17.224195338512764,0.14079515432695405,0.047876796185321216,10.323170731707316,1.1036505867014341,1.879023307436182,5.4939024390243905,0.16624782524647208
MD_66316880,364,239,137,137,30,2840,10078,36.4,25,115.4,51.8,64.2,432,23,553,3709,327.5,0.1,42.4,146.5,0,84.3,890,43.5,64,32,33,1,50.1,14,5,15,1,190.1,12,14,26,1.2000000000000002,102.6,287,287,14.3,26.900000000000002,392,59,338,0.1486146095717884,92.425,230.8,0.05,0.12552301255230125,0.05487199841238341,23.328703703703702,0.2818019448303235,0.05487199841238341,6.4963503649635035,2.270408163265306,2.060185185185185,3.153284671532847,0.1369319309386783
MD_66317304,28,21,8,8,2,417,793,4.7,2.9,16.3,3.1,5,25,2,2,104,29.8,0,4.3,22.5,0,14.7,63,3,0,0,1,0,16,2,0,1,0.1,6.9,0,25,25,1.2,0,4,4,0.2,0,30,3,29,0.09375,5.725,37.2,0,0.09523809523809523,0.0025220680958385876,31.72,0.5258511979823455,0.0025220680958385876,7.875,2.1,2.52,3.125,0.15132408575031525
MD_66326944,224,23,7,7,0,0,454,0,0,0,0,24.7,7,7,0,0,0,0,36.800000000000004,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,64.85714285714286,0,0,2.857142857142857,20,2.857142857142857,1,0.9251101321585904
MD_67512900,364,342,178,178,163,15760,48676,58.7,34.9,332,98.2,169,999,42,10626,17812,1114.8,1.2000000000000002,64.9,5199.5,1,3103.9,2869,100.9,395,69,332,14,47.6,163,10,168,5.9,19.9,36,112,125,4.2,53,191,191,6.8,5.5,879,531,382,0.5815991237677984,31.5,8303.4,1.1,0.4766081871345029,0.21830059988495357,48.72472472472472,0.32377352288602185,0.21830059988495357,16.117977528089888,3.2639362912400456,2.8718718718718717,5.612359550561798,0.051770893253348674
NP_67533560,28,16,12,12,6,121,3484,22.5,3.6,98,5.6,33.7,24,2,121,1235,30.3,0,7.8,34,0,0,87,5.4,4,0,4,0,0,2,0,1,0.1,1.4,0,0,0,0,0,5,5,0.3,0.9,10,6,5,0.5454545454545454,0.575,34,0,0.375,0.03473019517795637,145.16666666666666,0.03473019517795637,0.03473019517795637,7.25,8.7,3.625,2,0.03444316877152698
