"DE_ID","Grouper","TotalHours","AfterHoursPercent","WeekendPercent","TotalMessages","RiskLevel"
622288764,"RESIDENT + FELLOW",1.9,4054.1,923.7,1363,"Low Risk"
67647868,"RESIDENT + FELLOW",1.8,2113.2,475.5,921,"Low Risk"
67756268,"RESIDENT + FELLOW",1.5,1744.5,916.3,977,"Low Risk"
622288780,"RESIDENT + FELLOW",1.5,628,275.2,817,"Low Risk"
67671796,"PHYSICIAN + PSYCHIATRIST",1.3,1572.4,905,2423,"Low Risk"
622401548,"NURSE PRACTITIONER",1.2,12215.4,12165.2,2311,"Low Risk"
67609044,"PHYSICIAN + PSYCHIATRIST",1.2,402.5,555.8,2590,"Low Risk"
67803336,"PHYSICIAN + PSYCHIATRIST",1.1,165.1,1641.5,3169,"Low Risk"
67692900,"PHYSICIAN + PSYCHIATRIST",1.1,319.2,586.9,2802,"Low Risk"
67778836,"PHYSICIAN + PSYCHIATRIST",1,726.2,1371.5,2235,"Low Risk"
