"Rank","Provider ID","Provider Type","In-Basket Hours","Total Messages","Appointments","Response Time (days)","After-Hours Work"
1,"622401548","Nurse Practitioner",168.1,1122,1686,1.5,561.5
2,"67803336","Attending",99.7,1495,224,2.9,49.1
3,"622368596","Attending",85.4,1705,1495,2.1,165.5
4,"622288764","Resident/Fellow",83.6,665,538,0.8,306.1
5,"67778836","Attending",69,998,601,13.9,61.3
6,"67751308","Attending",68.3,1802,1226,0.6,122.3
7,"67647868","Resident/Fellow",66.4,407,378,4.2,146.9
8,"67692900","Attending",66,1347,713,0.7,41.3
9,"67558552","Attending",65.8,1998,1568,0.3,53.3
10,"622293284","Attending",58.9,913,1322,0.4,74.3
