"Metric","n (%)","Range","Mean (SD)","Median (IQR)"
"Provider type",NA,NA,NA,NA
"Attending physician","26 (40.6)","—","—","—"
"Nurse practitioner","4 (6.2)","—","—","—"
"Resident/Fellow","34 (53.1)","—","—","—"
"All","64 (100)","—","—","—"
"Scheduled Workload",NA,NA,NA,NA
"Appointments","28424 (—)","5.0-41.2","17.8 (9.2)","15.6 (8.5)"
"Schedule Hours","21480 (—)","5.0-26.8","13.5 (5.9)","11.9 (7.2)"
"Digital Workload",NA,NA,NA,NA
"In-Basket Hours","1941.2 (12.4)","0.1-6.3","1.3 (1.0)","1.0 (0.8)"
"After Hours","6605.2 (42.1)","0.0-19.6","4.1 (4.4)","2.8 (4.9)"
"All","15674.4 (100)","0.4-36.9","10.8 (7.6)","8.9 (7.3)"
"Message Counts",NA,NA,NA,NA
"Medical Advice Request","13841 (43.6)","0.0-45.9","8.8 (8.9)","6.6 (10.4)"
"Patient Call","6744 (21.3)","0.0-19.5","4.0 (4.4)","2.5 (4.8)"
"Result","5220 (16.5)","0.0-27.5","3.2 (5.5)","1.0 (2.8)"
"Rx Authorization","5920 (18.7)","0.0-30.5","3.7 (5.8)","1.6 (2.8)"
"All","31725 (100)","0.0-94.6","19.6 (17.9)","15.1 (19.4)"
"Days To Complete",NA,NA,NA,NA
"Medical Advice Request","—","0.0-16.6","2.7 (3.7)","1.3 (2.2)"
"Patient Call","—","0.0-17.0","3.2 (4.2)","1.5 (3.6)"
"Result","—","0.0-29.0","4.4 (6.0)","2.5 (5.5)"
"Rx Authorization","—","0.0-5.4","0.4 (0.8)","0.2 (0.4)"
"All","—","0.0-11.5","2.7 (3.0)","1.5 (3.0)"
"Minutes per Message",NA,NA,NA,NA
"Medical Advice Request","—","1.0-87.0","15.2 (16.1)","8.2 (11.8)"
"Patient Call","—","3.7-375.0","37.4 (52.7)","23.6 (18.4)"
"Result","—","2.5-1992.5","164.6 (398.4)","38.8 (86.2)"
"Rx Authorization","—","3.1-375.0","52.2 (62.8)","32.2 (51.2)"
"All","—","1.0-50.0","6.6 (8.2)","4.1 (4.4)"
"Minutes per Appointment",NA,NA,NA,NA
"In-Basket","183.0 (14.1)","0.0-9.6","2.9 (2.4)","2.9 (3.6)"
"Clinical Review","189.2 (14.5)","0.0-22.5","3.0 (3.4)","2.5 (3.9)"
"Notes/Letters","806.7 (62.0)","0.0-98.0","12.6 (15.0)","10.2 (16.3)"
"Orders","121.7 (9.4)","0.0-8.2","1.9 (1.7)","1.8 (2.7)"
"All","1300.7 (100)","0.0-129.7","20.3 (20.9)","18.5 (26.4)"
